analyze_ms,case_name,cuda_factorization_count,cuda_factorization_ms,cuda_refactorization_count,cuda_refactorization_ms,cuda_rhs_prepare_ms,cuda_solve_count,cuda_solve_ms,cudss_analysis_ms,cudss_reordering_alg,cudss_setup_ms,elapsed_ms,iterations_mean,nr_linear_factorize_count,nr_linear_factorize_ms,nr_linear_solve_count,nr_linear_solve_ms,profile,refactorization_share_of_nr_factorize_pct,refactorization_vs_cudss_solve_ratio,refactorization_vs_factorization_ratio,runs,solve_ms,success_all
201.34900000000002,Base_Eastern_Interconnect_515GW,1.0,3.4533,4.7,3.28453,0.58935,5.7,1.2358700000001002,151.5379,DEFAULT,1.8133,241.9754,6.7,5.7,3.3147866666667,5.7,1.8585066666667,cuda_edge,99.08722129930837,2.6576662593959997,0.9511279066400256,10,40.6257,True
24.817,Base_Florida_42GW,1.0,0.5667,3.0,0.47003333333333996,0.05805,4.0,0.235525,20.2125,DEFAULT,1.5796999999999999,29.021,5.0,4.0,0.49425,4.0,0.2962,cuda_edge,95.10032035070105,1.9956834023281602,0.8294217987177342,10,4.2033000000000005,True
36.526199999999996,Base_MIOHIN_76GW,1.0,0.8525,3.0,0.76193333333334,0.0968,4.0,0.32205,29.7484,DEFAULT,1.5882,43.0231,5.0,4.0,0.7847,4.0,0.423325,cuda_edge,97.09867890064228,2.365885214511225,0.8937634408602229,10,6.4962,True
28.6495,Base_Texas_66GW,1.0,0.6895,3.0,0.5952666666666699,0.071925,4.0,0.279575,23.3099,DEFAULT,1.5804,33.846199999999996,5.0,4.0,0.618875,4.0,0.354875,cuda_edge,96.18528243452555,2.1291841783659837,0.863330916122799,10,5.1959,True
57.2807,Base_West_Interconnect_121GW,1.0,1.2082,3.8,1.0869499999999999,0.067445,4.8,0.436145,46.3624,DEFAULT,1.5526,66.7249,5.8,4.8,1.11254,4.8,0.5118550000000001,cuda_edge,97.69985798263431,2.4921757672333738,0.8996440986591623,10,9.4436,True
14.153400000000001,MemphisCase2026_Mar7,1.0,0.3073,1.0,0.20779999999999998,0.02105,2.0,0.13145,11.8397,DEFAULT,1.5961,15.325899999999999,3.0,2.0,0.25785,2.0,0.15395,cuda_edge,80.58949001357377,1.5808292126283756,0.6762121705174096,10,1.1718,True
26.997,Texas7k_20220923,1.0,0.6574,2.0,0.5651499999999999,0.09393333333333401,3.0,0.25053333333333,21.7255,DEFAULT,1.6887,31.0134,4.0,3.0,0.59600000000001,3.0,0.35406666666666,cuda_edge,94.82382550335412,2.2557876530069483,0.8596744752053543,10,4.0158,True
11.7614,case_ACTIVSg200,1.0,0.10950000000000001,1.0,0.1031,0.0139,2.0,0.07755,9.8804,DEFAULT,1.5661,12.4024,3.0,2.0,0.10635,2.0,0.0924,cuda_edge,96.94405265632345,1.329464861379755,0.941552511415525,10,0.6408,True
16.4632,case_ACTIVSg2000,1.0,0.439,2.0,0.35055000000000003,0.016766666666667,3.0,0.17306666666667,13.782300000000001,DEFAULT,1.5924,18.5529,4.0,3.0,0.38010000000001,3.0,0.19136666666667,cuda_edge,92.22573007103152,2.025520030816602,0.7985193621867882,10,2.0894,True
71.1382,case_ACTIVSg25k,1.0,1.279,3.0,1.1333666666666,0.326675,4.0,0.4851,57.2281,DEFAULT,1.6585,82.5612,5.0,4.0,1.16995,4.0,0.82705,cuda_edge,96.87308574439933,2.3363567649280563,0.8861350013030493,10,11.4225,True
12.1421,case_ACTIVSg500,1.0,0.2047,2.0,0.11625,0.012333333333334,3.0,0.079466666666667,10.185,DEFAULT,1.5662,13.1443,4.0,3.0,0.14586666666666,3.0,0.093099999999997,cuda_edge,79.6960694698391,1.4628775167785173,0.56790425012213,10,1.0017,True
176.9503,case_ACTIVSg70k,1.0,2.9201,5.1,2.8028833333333,0.7530404761904,6.1,1.1719357142857,135.78480000000002,DEFAULT,1.7182,218.5544,7.1,6.1,2.8223452380952,6.1,1.9537571428571001,cuda_edge,99.31043500634831,2.3916698665008855,0.9598586806387794,10,41.6037,True
156.6044,Base_Eastern_Interconnect_515GW,1.0,930.8065,5.0,55.32448,0.78106666666662,6.0,92.733233333333,94.0507,ALG_1,1.9413999999999998,1939.7112,7.0,6.0,201.23851666666002,6.0,93.600300000001,cuda_edge,27.491993539011126,0.5965981990634807,0.059437144025100815,10,1783.1061,True
12.9392,Base_Florida_42GW,1.0,65.4573,3.0,3.7024333333332002,0.062725,4.0,5.037325,8.0045,ALG_1,1.7229,110.9752,5.0,4.0,19.141275,4.0,5.10335,cuda_edge,19.342668308841496,0.7349998924693563,0.05656257336207268,10,98.0356,True
22.302599999999998,Base_MIOHIN_76GW,1.0,121.0637,3.0,8.0786999999999,0.09915,4.0,12.837525,14.0792,ALG_1,1.818,220.9922,5.0,4.0,36.325,4.0,12.942874999999999,cuda_edge,22.24005505849938,0.6293035456600786,0.06673098542337547,10,198.6891,True
18.5977,Base_Texas_66GW,1.0,84.7199,3.0,4.5063666666666995,0.078125,4.0,7.0882499999999995,10.3862,ALG_1,2.1863,146.827,5.0,4.0,24.559875,4.0,7.1708,cuda_edge,18.348491865967148,0.6357516547337777,0.05319135960579155,10,128.2288,True
38.0493,Base_West_Interconnect_121GW,1.0,239.6655,3.5,13.190316666667,0.081845,4.5,22.970575,24.8143,ALG_1,1.7287000000000001,429.6047,5.5,4.5,64.146835,4.5,23.063875,cuda_edge,20.56269286967471,0.5742266646205852,0.05503635970411678,10,391.5549,True
4.5929,MemphisCase2026_Mar7,1.0,10.0716,1.0,0.8251,0.02245,2.0,0.93755,2.3682,ALG_1,1.6156,17.7442,3.0,2.0,5.44845,2.0,0.9615,cuda_edge,15.143756481201073,0.8800597301477254,0.08192342825370348,10,13.1507,True
14.0681,Texas7k_20220923,1.0,75.4409,2.0,4.55625,0.070466666666667,3.0,6.7746,8.5621,ALG_1,1.7888,120.232,4.0,3.0,28.1847,3.0,6.8494,cuda_edge,16.165685637952507,0.6725489327783191,0.06039495817255627,10,106.1635,True
3.3235,case_ACTIVSg200,1.0,2.1854999999999998,1.0,0.2744,0.0124,2.0,0.197,1.4188,ALG_1,1.6139999999999999,6.4107,3.0,2.0,1.2301,2.0,0.2105,cuda_edge,22.30712950166653,1.3928934010152283,0.12555479295355754,10,3.0864000000000003,True
6.0894,case_ACTIVSg2000,1.0,20.7629,2.0,1.8843,0.028766666666666,3.0,1.7488333333332,3.4482,ALG_1,1.6756,36.460100000000004,4.0,3.0,8.1772666666666,3.0,1.7792666666668,cuda_edge,23.043152153531523,1.0774611645859966,0.09075321848104072,10,30.3703,True
46.0008,case_ACTIVSg25k,1.0,270.6325,3.0,12.653266666666,0.3988,4.0,22.715325,25.147199999999998,ALG_1,1.9243,452.7373,5.0,4.0,77.1482,4.0,23.1801,cuda_edge,16.401246777845753,0.5570365674568161,0.04675442404983141,10,406.7362,True
3.6376,case_ACTIVSg500,1.0,5.2931,2.0,0.4651,0.016466666666666,3.0,0.38859999999999,1.6345,ALG_1,1.5797,11.4133,4.0,3.0,2.0746000000001,3.0,0.40626666666665,cuda_edge,22.418779523762534,1.1968605249614308,0.08786911261831441,10,7.7752,True
107.3665,case_ACTIVSg70k,1.0,788.6731,6.0,39.276683333332,0.28022857142857,7.0,72.516457142858,64.1272,ALG_1,1.9521,1649.4841999999999,8.0,7.0,146.33352857143,7.0,72.8574,cuda_edge,26.84052227590467,0.5416244102487884,0.049800967388556806,10,1542.1172,True
143.5046,Base_Eastern_Interconnect_515GW,1.0,931.8788,5.0,55.31718,0.60696666666667,6.0,92.930883333334,83.7338,ALG_2,1.8577,1926.2291,7.0,6.0,201.41096666666,6.0,93.583266666667,cuda_edge,27.464830200408734,0.5952507714963031,0.05936091689176747,10,1782.7238,True
11.796100000000001,Base_Florida_42GW,1.0,65.378,3.0,3.6969666666668,0.031375,4.0,5.028025,7.0123999999999995,ALG_2,1.6746,109.193,5.0,4.0,19.117475,4.0,5.062175,cuda_edge,19.33815353056196,0.7352721330277395,0.05654756442024535,10,97.3963,True
20.2737,Base_MIOHIN_76GW,1.0,121.2389,3.0,8.0701,0.04845,4.0,12.81505,12.3993,ALG_2,1.8039,218.1655,5.0,4.0,36.362525,4.0,12.868875000000001,cuda_edge,22.193453287416098,0.6297361305652339,0.0665636194323769,10,197.8911,True
14.5589,Base_Texas_66GW,1.0,85.4078,3.0,4.5019,0.039125,4.0,7.07625,8.5047,ALG_2,1.7237,142.76510000000002,5.0,4.0,24.728575,4.0,7.119025,cuda_edge,18.20525444753691,0.6361985514926691,0.0527106423535087,10,128.2057,True
37.4446,Base_West_Interconnect_121GW,1.0,239.9714,3.6,13.188783333334,0.186035,4.6,22.997595,22.816699999999997,ALG_2,1.991,434.9693,5.6,4.6,63.076350000000005,4.6,23.19701,cuda_edge,20.909236716033817,0.5734853289369606,0.054959813266639276,10,397.5244,True
4.3061,MemphisCase2026_Mar7,1.0,9.9886,1.0,0.823,0.01545,2.0,0.93345,2.1804,ALG_2,1.58,17.2786,3.0,2.0,5.4059,2.0,0.95035,cuda_edge,15.224106994210029,0.8816755048476083,0.08239392907915023,10,12.972199999999999,True
12.5001,Texas7k_20220923,1.0,75.5596,2.0,4.5512999999999995,0.035133333333332004,3.0,6.7644333333334,7.4174,ALG_2,1.7432,118.2342,4.0,3.0,28.220899999999002,3.0,6.8041333333334,cuda_edge,16.127409118774246,0.6728279777069212,0.06023456979655794,10,105.7335,True
3.3621,case_ACTIVSg200,1.0,2.2674,1.0,0.2792,0.01515,2.0,0.20185,1.4196,ALG_2,1.6016000000000001,6.5877,3.0,2.0,1.27345,2.0,0.21825,cuda_edge,21.924692763752013,1.3832053505078028,0.12313663226603158,10,3.2249,True
5.562,case_ACTIVSg2000,1.0,20.725,2.0,1.8809,0.019033333333332,3.0,1.7442333333333,3.1125,ALG_2,1.5685,35.722,4.0,3.0,8.1623666666667,3.0,1.7650333333333,cuda_edge,23.043561712085047,1.078353431306994,0.09075512665862484,10,30.1595,True
37.3193,case_ACTIVSg25k,1.0,270.5365,3.0,12.653433333334,0.214175,4.0,22.75315,21.096,ALG_2,1.916,441.4243,5.0,4.0,77.124325,4.0,22.982599999999998,cuda_edge,16.40654013287507,0.5561178708589359,0.04677163093828005,10,404.1048,True
3.5309,case_ACTIVSg500,1.0,5.2287,2.0,0.46265,0.012933333333332001,3.0,0.38563333333333,1.566,ALG_2,1.588,11.1699,4.0,3.0,2.0514333333334,3.0,0.39976666666665,cuda_edge,22.552524251335733,1.1997147549485798,0.0884827968711152,10,7.6384,True
105.9536,case_ACTIVSg70k,1.0,788.5233,6.0,39.282183333333,0.5715714285714301,7.0,72.662285714285,58.3515,ALG_2,2.076,1655.4615,8.0,7.0,146.3167857143,7.0,73.270785714286,cuda_edge,26.847352572408123,0.540613097250949,0.04981740340879338,10,1549.5075,True
612.7843,Base_Eastern_Interconnect_515GW,1.0,73.1463,4.5,73.78269,0.61674666666667,5.5,6.9265833333332,573.8814,ALG_3,2.6603,1073.4655,6.5,5.5,73.681549999999,5.5,7.5762,cuda_edge,100.13726638486975,10.652104572961862,1.0087002350084695,10,460.6808,True
42.519,Base_Florida_42GW,1.0,3.8774,3.0,3.7237333333333,0.059525,4.0,0.492625,38.1074,ALG_3,1.6842,60.8495,5.0,4.0,3.76225,4.0,0.555125,cuda_edge,98.97623319378829,7.558961346527886,0.9603686319010935,10,18.3296,True
74.541,Base_MIOHIN_76GW,1.0,7.6235,3.0,7.6479333333334,0.051000000000000004,4.0,0.85425,67.0167,ALG_3,1.6856,109.92,5.0,4.0,7.641925,4.0,0.9108,cuda_edge,100.07862329626896,8.952804604428914,1.00320500207692,10,35.3784,True
58.4886,Base_Texas_66GW,1.0,5.5847999999999995,3.0,5.5601666666667,0.0475,4.0,0.66705,52.4357,ALG_3,1.7564,85.0149,5.0,4.0,5.566549999999999,4.0,0.718725,cuda_edge,99.88532693799033,8.335457112160558,0.9955892183545876,10,26.526,True
134.3199,Base_West_Interconnect_121GW,1.0,14.2047,3.8,14.0795,0.076555,4.8,1.37066,123.8386,ALG_3,1.7184,210.7831,5.8,4.8,14.105935,4.8,1.457875,cuda_edge,99.81259661270238,10.272058716238892,0.991186015896147,10,76.4626,True
16.1025,MemphisCase2026_Mar7,1.0,1.1642,1.0,0.771,0.02195,2.0,0.18155,13.505700000000001,ALG_3,1.8428,18.781100000000002,3.0,2.0,0.96775,2.0,0.20500000000000002,cuda_edge,79.66933608886593,4.246763976865878,0.6622573440989521,10,2.6782,True
154.87550000000002,Texas7k_20220923,1.0,5.518,2.0,4.32675,0.068433333333332,3.0,0.59476666666666,47.1539,ALG_3,2.1343,172.1199,4.0,3.0,4.7239666666667,3.0,0.66666666666665,cuda_edge,91.59145915508793,7.274701563638483,0.7841156216020296,10,17.244,True
11.9094,case_ACTIVSg200,1.0,0.16620000000000001,1.0,0.1584,0.0145,2.0,0.09925,9.7363,ALG_3,1.7997,12.7383,3.0,2.0,0.1625,2.0,0.11485,cuda_edge,97.47692307692309,1.5959697732997482,0.9530685920577617,10,0.8281,True
21.4962,case_ACTIVSg2000,1.0,1.5651,2.0,1.42765,0.0286,3.0,0.26316666666667,18.6786,ALG_3,1.7918,27.3002,4.0,3.0,1.4736,3.0,0.29346666666668,cuda_edge,96.88178610206299,5.424889170360919,0.912178135582391,10,5.803599999999999,True
189.8316,case_ACTIVSg25k,1.0,17.2134,3.0,17.545833333333,0.21165,4.0,1.66795,177.4451,ALG_3,2.1758,272.457,5.0,4.0,17.462975,4.0,1.8896,cuda_edge,100.47448005470432,10.519400061952096,1.0193124736154973,10,82.6246,True
14.2419,case_ACTIVSg500,1.0,0.2909,2.0,0.2662,0.013766666666665001,3.0,0.13449999999999,11.7505,ALG_3,2.0004,15.9078,4.0,3.0,0.27446666666666997,3.0,0.14933333333333002,cuda_edge,96.98809812970492,1.9791821561339762,0.9150910965967687,10,1.6654,True
565.3131,case_ACTIVSg70k,1.0,55.8551,5.0,53.95368,0.56591666666667,6.0,5.8558,532.0813,ALG_3,2.7001999999999997,952.52,7.0,6.0,54.2708,6.0,6.44855,cuda_edge,99.41567104225476,9.21371631544793,0.9659579877218015,10,387.2063,True
